"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","link_age","family_id","class_id"
"ZNF506","MER66B",0.000205500441718751,-0.699177949374704,0.00682389211864751,"MER66B:ZNF506","old","young","young","ERV1","LTR"
"ZNF671","Harlequin-int",0.00030884943464794,0.685196388027575,0.00866678559897238,"Harlequin-int:ZNF671","old","old","old","ERV1","LTR"
"ZNF133","L1M7",0.000161815979974101,0.707035535912856,0.00598528754163029,"L1M7:ZNF133","old","old","old","L1","LINE"
"ZNF133","L1MA3",9.66251187582207e-06,0.783815363660649,0.00124419155666321,"L1MA3:ZNF133","old","old","old","L1","LINE"
"ZNF133","MER39",0.000194571462898906,0.700996542379616,0.00661007806767758,"MER39:ZNF133","old","old","old","ERV1","LTR"
"ZNF133","MER8",0.000225540950027925,-0.696050953221076,0.00721923474607967,"MER8:ZNF133","old","old","old","TcMar-Tigger","DNA"
"ZNF337","L1MA5",0.000375787922420309,0.678186495179653,0.00967821474673163,"L1MA5:ZNF337","old","old","old","L1","LINE"
"ZNF141","LTR1A1",0.000272573549388878,0.689565444701603,0.00803878670086416,"LTR1A1:ZNF141","old","young","young",NA,NA
"ZNF141","SVA_D",0.000157467170406543,0.707915718840496,0.00588739959063771,"SVA_D:ZNF141","old","young","young","SVA","SVA"
"ZNF132","LTR16B2",2.6806206240784e-05,-0.759038748933524,0.00223712798414882,"LTR16B2:ZNF132","old","old","old","ERVL","LTR"
"ZNF132","LTR1A1",6.79705212074164e-06,-0.791682693311942,0.0010154179289146,"LTR1A1:ZNF132","old","young","young",NA,NA
"ZNF189","L2a",1.82257805627981e-06,-0.818424767218897,0.000480061229995286,"L2a:ZNF189","old","old","old","L2","LINE"
"ZNF189","L2b",5.11576039730807e-06,-0.797805406567664,0.000860522653601665,"L2b:ZNF189","old","old","old","L2","LINE"
"ZNF189","LTR1A2",1.15802871278859e-06,-0.826745612767216,0.000372898184386227,"LTR1A2:ZNF189","old","young","young",NA,NA
"ZNF157","ERVL-B4-int",7.65553843151406e-05,0.730125657144567,0.00395492818838847,"ERVL-B4-int:ZNF157","old","old","old","ERVL","LTR"
"ZNF157","ERVL-E-int",8.25718518499645e-07,0.832680006497986,0.000298709720123344,"ERVL-E-int:ZNF157","old","old","old","ERVL","LTR"
"ZNF157","SVA_D",6.85196765623622e-05,-0.733362993876075,0.00371191180174301,"SVA_D:ZNF157","old","young","young","SVA","SVA"
"ZNF157","SVA_F",0.000247202728695437,-0.692931226161796,0.00760094230296377,"SVA_F:ZNF157","old","young","young","SVA","SVA"
"ZNF547","LTR10G",0.000107170275153439,0.720021440213814,0.0047633681993401,"LTR10G:ZNF547","old","young","young","ERV1","LTR"
"ZNF776","MSTB",0.000107422313470246,-0.719949348839198,0.00477089160017337,"MSTB:ZNF776","old","young","young","ERVL-MaLR","LTR"
"ZNF382","L1P3",0.000325052704920581,0.683387087966721,0.00891202056998049,"L1P3:ZNF382","old","old","old","L1","LINE"
"ZNF12","MLT1A",3.28271858063857e-05,-0.753744353489668,0.00248810211948083,"MLT1A:ZNF12","old","old","old","ERVL-MaLR","LTR"
"ZNF12","MLT1B",1.25996761678916e-07,-0.861903064801054,9.65022173749048e-05,"MLT1B:ZNF12","old","old","old","ERVL-MaLR","LTR"
"ZNF12","MLT1D",7.18671334847622e-07,-0.835051954919726,0.000278511534535719,"MLT1D:ZNF12","old","old","old","ERVL-MaLR","LTR"
"ZNF440","L1PA14",0.000375660111699743,0.678198812804925,0.00967661947193797,"L1PA14:ZNF440","old","old","old","L1","LINE"
"ZNF561","LTR10A",9.05517600804629e-06,-0.785291895687744,0.00119916935430585,"LTR10A:ZNF561","old","young","young","ERV1","LTR"
"ZNF570","L1M4",4.98227292287812e-05,0.742418165338812,0.00311980674931771,"L1M4:ZNF570","old","old","old","L1","LINE"
"ZNF680","HERV9-int",6.55724057596307e-05,-0.734634019505838,0.00362666892818019,"HERV9-int:ZNF680","old","old","old","ERV1","LTR"
"ZNF680","LTR13_",0.000330473674493204,-0.682799173309498,0.00900567453996767,"LTR13_:ZNF680","old","old","old","ERVK","LTR"
"ZNF77","LTR26",0.000241766550357631,0.693691161933799,0.00750891862873607,"LTR26:ZNF77","old","old","old","ERV1","LTR"
"ZNF169","MLT1A",0.000353228401102987,-0.68041890794222,0.00935809025872965,"MLT1A:ZNF169","old","old","old","ERVL-MaLR","LTR"
"ZNF354C","MLT1B",1.78620326283828e-05,-0.769261329664585,0.00177497608768004,"MLT1B:ZNF354C","old","old","old","ERVL-MaLR","LTR"
"ZNF17","L1P3",1.09932851305655e-06,0.827673068341769,0.000359923635670433,"L1P3:ZNF17","old","old","old","L1","LINE"
"ZNF197","L1MEg",7.85630768224798e-05,0.729363365316931,0.00400504930546675,"L1MEg:ZNF197","old","old","old","L1","LINE"
"ZNF573","MLT1F1-int",4.76697629152327e-05,0.743645256661825,0.00304508880801701,"MLT1F1-int:ZNF573","old","old","old","ERVL-MaLR","LTR"
"ZNF33A","L1MEg",2.60826407614596e-05,0.759743743597435,0.00220602114965595,"L1MEg:ZNF33A","old","old","old","L1","LINE"
"ZNF565","L1M7",0.000162626112455477,-0.706873845235707,0.00600161759665741,"L1M7:ZNF565","old","old","old","L1","LINE"
"ZNF565","MLT1H2",3.80977478704829e-06,0.803946136001166,0.000727137148097561,"MLT1H2:ZNF565","old","old","old","ERVL-MaLR","LTR"
"ZNF782","HERVK-int",8.33170569672148e-05,0.727624034391809,0.00414178108114727,"HERVK-int:ZNF782","old","old","old","ERVK","LTR"
"ZNF782","MER21A",5.62046695006084e-05,-0.739035478280361,0.00332725486136433,"MER21A:ZNF782","old","old","old","ERVL","LTR"
"ZNF136","HAL1M8",0.000156661134776314,0.708081174809131,0.00587186375322863,"HAL1M8:ZNF136","old","old","old",NA,NA
"ZNF136","L1MA8",0.000203082051862588,0.699573008964545,0.00678061886879294,"L1MA8:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MB4",0.00033208138860384,0.682626417446979,0.00902704626918364,"L1MB4:ZNF136","old","old","old","L1","LINE"
"ZNF136","L1MEg",9.65579411389489e-05,0.72319993495711,0.00450109157076346,"L1MEg:ZNF136","old","old","old","L1","LINE"
"ZNF585A","HAL1",0.000206850161478664,0.698959215298568,0.00685171514447275,"HAL1:ZNF585A","old","old","old","L1","LINE"
"ZNF429","L1MB4",0.000141593262580836,0.711319109620562,0.00553765534367588,"L1MB4:ZNF429","old","old","old","L1","LINE"
"ZNF429","LTR14B",0.000111146342878048,0.718900979876063,0.00486111127946608,"LTR14B:ZNF429","old","young","young","ERVK","LTR"
"ZNF675","LTR10F",0.000365784688607938,-0.679161676631387,0.0095315684680658,"LTR10F:ZNF675","old","young","young","ERV1","LTR"
"ZNF675","LTR13_",5.46215117264041e-07,-0.83963281107842,0.000230650837795599,"LTR13_:ZNF675","old","old","old","ERVK","LTR"
"ZNF675","MST-int",2.26211571494236e-05,-0.763374507445224,0.00203449574218821,"MST-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","MSTA-int",1.66412155499231e-05,0.770993281910359,0.00170574925482674,"MSTA-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF675","MSTC-int",5.63946620808807e-06,0.795728246865392,0.000914975743732426,"MSTC-int:ZNF675","old","old","old","ERVL-MaLR","LTR"
"ZNF433","MER4-int",3.40840069153842e-05,0.752748119107727,0.00254098145109215,"MER4-int:ZNF433","old","old","old","ERV1","LTR"
"ZNF81","L1MB4",0.000226745982800842,0.695870719421151,0.00723889222958155,"L1MB4:ZNF81","old","old","old","L1","LINE"
"ZNF273","LTR55",0.000172984581132748,0.704865868776748,0.00619948057398443,"LTR55:ZNF273","old","old","old","ERV","LTR"
"ZNF649","SVA_A",0.000217536445304833,-0.69726982956906,0.00705417761314801,"SVA_A:ZNF649","old","young","young","SVA","SVA"
"ZNF649","SVA_C",6.24032342114803e-05,-0.736057726398342,0.00352920910609423,"SVA_C:ZNF649","old","young","young","SVA","SVA"
"ZNF649","SVA_D",8.31698012499961e-05,-0.727676594322765,0.00413564975762741,"SVA_D:ZNF649","old","young","young","SVA","SVA"
"ZNF649","SVA_F",7.11821880315289e-05,-0.732255209264306,0.00379199752138385,"SVA_F:ZNF649","old","young","young","SVA","SVA"
"ZNF248","L1MB8",0.000176777466681778,0.704156706763806,0.00627107591314248,"L1MB8:ZNF248","old","old","old","L1","LINE"
"ZNF28","HERVK3-int",1.45090130197123e-05,0.774306080234415,0.00158590299075135,"HERVK3-int:ZNF28","old","old","old","ERVK","LTR"
"ZNF28","HERVK9-int",8.40878287172895e-06,0.786962617772153,0.00114598667390959,"HERVK9-int:ZNF28","old","old","old","ERVK","LTR"
"ZNF28","MER21C",0.000151037850182295,-0.709256525123974,0.00575274560650275,"MER21C:ZNF28","old","old","old","ERVL","LTR"
"ZNF28","SVA_A",8.37545161625221e-05,-0.727468369155464,0.00414921384753569,"SVA_A:ZNF28","old","young","young","SVA","SVA"
"ZNF28","SVA_B",0.000134423923068951,-0.712966335884106,0.0053847724265768,"SVA_B:ZNF28","old","young","young","SVA","SVA"
"ZNF28","SVA_C",4.01873203077394e-06,-0.802849204662002,0.000747626834600784,"SVA_C:ZNF28","old","young","young","SVA","SVA"
"ZNF28","SVA_D",0.000184788323329294,-0.702701333728122,0.00642129830636127,"SVA_D:ZNF28","old","young","young","SVA","SVA"
"ZNF28","SVA_F",5.20622470983141e-05,-0.741190052806799,0.00320377358300373,"SVA_F:ZNF28","old","young","young","SVA","SVA"
"ZNF28","THE1A-int",0.000238696346341911,0.694126922892134,0.00745778634072018,"THE1A-int:ZNF28","old","old","old","ERVL-MaLR","LTR"
"ZNF28","THE1B",0.000112100417603109,-0.718637325339199,0.00487950969214081,"THE1B:ZNF28","old","young","young","ERVL-MaLR","LTR"
"ZNF468","HERVK9-int",0.000159106660085581,0.707581438678843,0.00592430544985282,"HERVK9-int:ZNF468","old","old","old","ERVK","LTR"
"ZNF468","LTR7B",7.39996306293718e-05,-0.731121714922808,0.00387640597650135,"LTR7B:ZNF468","old","young","young","ERV1","LTR"
"ZNF468","MER72",0.000175384909740158,0.704415525466245,0.00624517718800531,"MER72:ZNF468","old","young","young","ERV1","LTR"
"ZNF611","MER11D",0.000125235999654879,0.715193003822063,0.00518296544924513,"MER11D:ZNF611","old","young","young","ERVK","LTR"
"ZNF611","SVA_B",4.07685475873857e-05,-0.747935753396343,0.00279140655268689,"SVA_B:ZNF611","old","young","young","SVA","SVA"
"ZNF611","SVA_C",8.94413725187914e-05,-0.725506791524634,0.00430693459647714,"SVA_C:ZNF611","old","young","young","SVA","SVA"
"ZNF611","SVA_D",9.74356977574342e-05,-0.722925771537796,0.0045242913897781,"SVA_D:ZNF611","old","young","young","SVA","SVA"
"ZNF611","SVA_E",0.000381190124490079,-0.67766914403752,0.00976734482903607,"SVA_E:ZNF611","old","young","young","SVA","SVA"
"ZNF611","SVA_F",0.000236134642834409,-0.694494246218857,0.00740821094977181,"SVA_F:ZNF611","old","young","young","SVA","SVA"
"ZNF736","LTR1D",0.000130256571666904,-0.713959310982051,0.00529908410804043,"LTR1D:ZNF736","old","young","young","ERV1","LTR"
"ZNF736","SVA_F",0.000276142832341702,-0.689113930563504,0.00810637782336424,"SVA_F:ZNF736","old","young","young","SVA","SVA"
