"repName","repClass","repFamily","species","clade","age"
"L1P5","LINE","L1",NA,NA,"old"
"AluY","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MB5","LINE","L1",NA,NA,"old"
"AluSc","SINE","Alu","Primates","Euarchontoglires.","old"
"HAL1","LINE","L1","Eutheria","Theria <mammals>.","old"
"L2a","LINE","L2",NA,NA,"old"
"L1MA9","LINE","L1",NA,NA,"old"
"L2","LINE","L2","Theria <mammals>","Mammalia.","old"
"L1PA4","LINE","L1",NA,NA,"old"
"AluSg","SINE","Alu","Primates","Euarchontoglires.","old"
"MSTA-int","LTR","ERVL-MaLR",NA,NA,"old"
"L1PA8A","LINE","L1",NA,NA,"old"
"AluJb","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC4","LINE","L1",NA,NA,"old"
"HUERS-P3b-int","LTR","ERV1",NA,NA,"old"
"AluJo","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MDb","LINE","L1",NA,NA,"old"
"AluSp","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC1","LINE","L1",NA,NA,"old"
"MLT1C","LTR","ERVL-MaLR","Boreoeutheria","Eutheria.","old"
"MER58A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"AluSz","SINE","Alu","Primates","Euarchontoglires.","old"
"AluSx1","SINE","Alu","Primates","Euarchontoglires.","old"
"MER5A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MIRb","SINE","MIR","Mammalia","Amniota.","old"
"MLT1K","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR5_Hs","LTR","ERVK","Homo sapiens","Homo.","young"
"HERVIP10F-int","LTR","ERV1",NA,NA,"old"
"LTR16A1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1M6","LINE","L1",NA,NA,"old"
"THE1D-int","LTR","ERVL-MaLR","Catarrhini","Simiiformes.","young"
"LTR48B","LTR","ERV1","Primates","Euarchontoglires.","old"
"L2c","LINE","L2",NA,NA,"old"
"L2b","LINE","L2",NA,NA,"old"
"L1PA2","LINE","L1",NA,NA,"old"
"AluSq","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MC5a","LINE","L1",NA,NA,"old"
"ERVL-E-int","LTR","ERVL",NA,NA,"old"
"LTR81B","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"L1MA3","LINE","L1",NA,NA,"old"
"AluSc8","SINE","Alu","Primates","Euarchontoglires.","old"
"MIRc","SINE","MIR","Mammalia","Amniota.","old"
"LTR49-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR12","LTR","ERV1","Catarrhini","Simiiformes.","young"
"L1MD1","LINE","L1",NA,NA,"old"
"THE1B","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"AluSq2","SINE","Alu","Primates","Euarchontoglires.","old"
"MSTD","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"L1PB1","LINE","L1",NA,NA,"old"
"AluJr","SINE","Alu","Primates","Euarchontoglires.","old"
"L1MA4A","LINE","L1",NA,NA,"old"
"MER44C","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MLT2B1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"AluSx","SINE","Alu","Primates","Euarchontoglires.","old"
"MER57-int","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"L1MB1","LINE","L1",NA,NA,"old"
"L3","LINE","CR1","Theria <mammals>","Mammalia.","old"
"L1PB3","LINE","L1",NA,NA,"old"
"L1MB8","LINE","L1",NA,NA,"old"
"L1MEf","LINE","L1",NA,NA,"old"
"L1PA13","LINE","L1",NA,NA,"old"
"L1ME1","LINE","L1",NA,NA,"old"
"LTR49","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1PA17","LINE","L1",NA,NA,"old"
"MLT1A0","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR32","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"MER5A1","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT2C1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MIR","SINE","MIR","Mammalia","Amniota.","old"
"L1ME4c","LINE","L1",NA,NA,"old"
"L1ME2","LINE","L1",NA,NA,"old"
"L1MA2","LINE","L1",NA,NA,"old"
"L1MB3","LINE","L1",NA,NA,"old"
"L1MC3","LINE","L1",NA,NA,"old"
"MER4B","LTR","ERV1","Primates","Euarchontoglires.","old"
"THE1A","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"LTR40A1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR8B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER11C","LTR","ERVK","Hominoidea","Catarrhini.","young"
"MLT1E1A","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"Tigger13a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MIR3","SINE","MIR","Mammalia","Amniota.","old"
"LTR7","LTR","ERV1","Hominoidea","Catarrhini.","young"
"LTR26","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER4A","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluSz6","SINE","Alu","Primates","Euarchontoglires.","old"
"L1ME3E","LINE","L1",NA,NA,"old"
"MSTB1","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"L1PA8","LINE","L1",NA,NA,"old"
"L1MDa","LINE","L1",NA,NA,"old"
"Charlie7","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1MEd","LINE","L1",NA,NA,"old"
"L1M5","LINE","L1",NA,NA,"old"
"MLT1J","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"AluJr4","SINE","Alu","Primates","Euarchontoglires.","old"
"Tigger1","DNA","TcMar-Tigger","Afrotheria","Eutheria.","old"
"AluSg4","SINE","Alu","Primates","Euarchontoglires.","old"
"THE1D","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"LTR33","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER66-int","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"AluSx4","SINE","Alu","Primates","Euarchontoglires.","old"
"MER67B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"L1PA3","LINE","L1",NA,NA,"old"
"Charlie15a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1ME4b","LINE","L1",NA,NA,"old"
"MER4-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1MD2","LINE","L1",NA,NA,"old"
"MLT2D","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER66B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR10D","LTR","ERV1","Catarrhini","Simiiformes.","young"
"Tigger3d","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"L1PA6","LINE","L1",NA,NA,"old"
"L1MCa","LINE","L1",NA,NA,"old"
"L1PA11","LINE","L1",NA,NA,"old"
"MER21C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER97a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"Tigger2b_Pri","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER20B","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1PA7","LINE","L1",NA,NA,"old"
"MER2","DNA","TcMar-Tigger","Glires","Euarchontoglires.","old"
"MLT1F2","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MLT1A0-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR17","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR78B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"CR1-L3A_Croc","LINE","CR1","Amniota","Tetrapoda.","old"
"Ricksha_a","DNA","MULE-MuDR","Primates","Euarchontoglires.","old"
"MLT1G3","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MSTA","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"L1ME2z","LINE","L1",NA,NA,"old"
"AluYc3","SINE","Alu","Primates","Euarchontoglires.","old"
"MER3","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT1B","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"THE1B-int","LTR","ERVL-MaLR",NA,NA,"old"
"AluSx3","SINE","Alu","Primates","Euarchontoglires.","old"
"L1ME3B","LINE","L1",NA,NA,"old"
"THE1C","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"MLT1F","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MER113","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1MEg","LINE","L1",NA,NA,"old"
"HERVL-int","LTR","ERVL",NA,NA,"old"
"L1P1","LINE","L1",NA,NA,"old"
"Kanga1a","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"L1MB7","LINE","L1",NA,NA,"old"
"AluSg7","SINE","Alu","Primates","Euarchontoglires.","old"
"THE1C-int","LTR","ERVL-MaLR",NA,NA,"old"
"Tigger2","DNA","TcMar-Tigger","Artiodactyla","Laurasiatheria.","old"
"LTR43","LTR","ERV1","Primates","Euarchontoglires.","old"
"Charlie17","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1MEc","LINE","L1",NA,NA,"old"
"L1M3a","LINE","L1",NA,NA,"old"
"L1MC5","LINE","L1",NA,NA,"old"
"L1MB4","LINE","L1",NA,NA,"old"
"L1ME3F","LINE","L1",NA,NA,"old"
"MLT1O","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MSTB-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR12C","LTR","ERV1","Hominoidea","Catarrhini.","young"
"MER11B","LTR","ERVK","Hominoidea","Catarrhini.","young"
"MLT1D","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1MEg2","LINE","L1",NA,NA,"old"
"L1MA5","LINE","L1",NA,NA,"old"
"L1ME3","LINE","L1",NA,NA,"old"
"MER65A","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1M1","LINE","L1",NA,NA,"old"
"L1ME3C","LINE","L1",NA,NA,"old"
"Tigger3b","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"HERVK22-int","LTR","ERVK",NA,NA,"old"
"MLT2B3","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR86C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER1B","DNA","hAT-Charlie","Simiiformes","Haplorrhini.","young"
"MER8","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"Charlie1b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"ERVL-B4-int","LTR","ERVL",NA,NA,"old"
"LTR40a","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1M2","LINE","L1",NA,NA,"old"
"Charlie25","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR16B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Charlie14a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1PREC2","LINE","L1",NA,NA,"old"
"MER103C","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER39","LTR","ERV1","Primates","Euarchontoglires.","old"
"L4_A_Mam","LINE","RTE-X","Eutheria","Theria <mammals>.","old"
"Charlie1","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1MA4","LINE","L1",NA,NA,"old"
"Charlie15b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"FLAM_C","SINE","Alu","Primates","Euarchontoglires.","old"
"MADE1","DNA","TcMar-Mariner","Simiiformes","Haplorrhini.","young"
"MER21-int","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1M3","LINE","L1",NA,NA,"old"
"LTR108a_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"HERVE_a-int","LTR","ERV1",NA,NA,"old"
"MLT1E1","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1MA1","LINE","L1",NA,NA,"old"
"L1PA15-16","LINE","L1",NA,NA,"old"
"L1M4c","LINE","L1",NA,NA,"old"
"L1MA5A","LINE","L1",NA,NA,"old"
"L4_C_Mam","LINE","RTE-X","Eutheria","Theria <mammals>.","old"
"THE1A-int","LTR","ERVL-MaLR",NA,NA,"old"
"HAL1ME","LINE","L1","Eutheria","Theria <mammals>.","old"
"MER31B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"HERVK11-int","LTR","ERVK",NA,NA,"old"
"HUERS-P1-int","LTR","ERV1",NA,NA,"old"
"L1PA14","LINE","L1",NA,NA,"old"
"MLT1L","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MLT1I","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1ME4a","LINE","L1",NA,NA,"old"
"HERV9-int","LTR","ERV1",NA,NA,"old"
"MSTB2","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"L1PBa","LINE","L1",NA,NA,"old"
"AluYb8","SINE","Alu","Hominidae","Hominoidea.","young"
"AluYm1","SINE","Alu","Hominoidea","Catarrhini.","young"
"AluYa5","SINE","Alu","Hominidae","Hominoidea.","young"
"LTR56","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1ME3G","LINE","L1",NA,NA,"old"
"LFSINE_Vert","SINE","tRNA","Tetrapoda","Dipnotetrapodomorpha.","old"
"HERVL18-int","LTR","ERVL",NA,NA,"old"
"L1P2","LINE","L1",NA,NA,"old"
"MLT1H1","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1M4","LINE","L1",NA,NA,"old"
"L1M4b","LINE","L1",NA,NA,"old"
"L1MB2","LINE","L1",NA,NA,"old"
"MLT2F","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR27C","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L1PA12","LINE","L1",NA,NA,"old"
"LTR41","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Arthur1B","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"HERVK-int","LTR","ERVK",NA,NA,"old"
"L1MD3","LINE","L1",NA,NA,"old"
"ERV3-16A3_I-int","LTR","ERVL",NA,NA,"old"
"L1PA5","LINE","L1",NA,NA,"old"
"L1MA7","LINE","L1",NA,NA,"old"
"MIR1_Amn","SINE","MIR","Amniota","Tetrapoda.","old"
"MER61-int","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR86B2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1MA6","LINE","L1",NA,NA,"old"
"LTR1E","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L1PB2","LINE","L1",NA,NA,"old"
"MER4A1_","LTR","ERV1",NA,NA,"old"
"MLT1J2","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1MCb","LINE","L1",NA,NA,"old"
"LTR3A","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR45","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR40c","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER63C","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"LTR8","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR18A","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"L1MEb","LINE","L1",NA,NA,"old"
"LTR1B1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L1PB4","LINE","L1",NA,NA,"old"
"L1ME3A","LINE","L1",NA,NA,"old"
"LTR50","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR1B0","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER52-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER70C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L1MA8","LINE","L1",NA,NA,"old"
"L1PA15","LINE","L1",NA,NA,"old"
"L1MC","LINE","L1",NA,NA,"old"
"L1PA16","LINE","L1",NA,NA,"old"
"Tigger2a","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MLT1E2","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"Arthur1","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MamGypLTR1b","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER5B","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Zaphod2","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"HERVH-int","LTR","ERV1",NA,NA,"old"
"LTR33B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR9D","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR14B","LTR","ERVK","Catarrhini","Simiiformes.","young"
"HSMAR1","DNA","TcMar-Mariner","Simiiformes","Haplorrhini.","young"
"Tigger19a","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"Zaphod","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER51A","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MLT2A1","LTR","ERVL","Primates","Euarchontoglires.","old"
"LTR104_Mam","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER52C","LTR","ERV1","Primates","Euarchontoglires.","old"
"HERVL40-int","LTR","ERVL",NA,NA,"old"
"L1MCc","LINE","L1",NA,NA,"old"
"L4_B_Mam","LINE","RTE-X","Eutheria","Theria <mammals>.","old"
"LOR1-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"Tigger19b","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"MLT2B5","LTR","ERVL","Euarchontoglires","Boreoeutheria.","old"
"MER39B","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER65-int","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MER31A","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MER81","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"MLT1N2","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR10C","LTR","ERV1","Catarrhini","Simiiformes.","young"
"L1M7","LINE","L1",NA,NA,"old"
"MSTB1-int","LTR","ERVL-MaLR",NA,NA,"old"
"MER47A","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER41B","LTR","ERV1","Primates","Euarchontoglires.","old"
"Kanga1d","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"MER20","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Plat_L3","LINE","CR1","Mammalia","Amniota.","old"
"MER33","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT1A","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"Alu","SINE","Alu",NA,NA,"old"
"Charlie5","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT1E1A-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR16C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MamRep1527","LTR","LTR","Eutheria","Theria <mammals>.","old"
"LTR12F","LTR","ERV1","Catarrhini","Simiiformes.","young"
"MER45A","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"AluYj4","SINE","Alu","Homo sapiens","Homo.","young"
"FLAM_A","SINE","Alu","Primates","Euarchontoglires.","old"
"L1PB","LINE","L1",NA,NA,"old"
"Tigger5b","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"AluSc5","SINE","Alu","Primates","Euarchontoglires.","old"
"Tigger5","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"HAL1M8","LINE","L1","Eutheria","Theria <mammals>.","old"
"MLT1H2","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MER4D1","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER4CL34","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L5","LINE","RTE-X","Theria <mammals>","Mammalia.","old"
"MLT1H","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"FAM","SINE","Alu","Euarchontoglires","Boreoeutheria.","old"
"MER65D","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MER1A","DNA","hAT-Charlie","Simiiformes","Haplorrhini.","young"
"Tigger12","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"LTR37A","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"AluYh3","SINE","Alu","Hominidae","Hominoidea.","young"
"Charlie4z","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER31-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER92-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER34A","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MSTA1","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"MER4A1","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluYc","SINE","Alu","Primates","Euarchontoglires.","old"
"Charlie30a","DNA","hAT-Charlie","Mammalia","Amniota.","old"
"Charlie9","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Ricksha_0","DNA","MULE-MuDR","Primates","Euarchontoglires.","old"
"Tigger4b","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"Charlie20a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"AluYf1","SINE","Alu","Hominoidea","Catarrhini.","young"
"L1MC4a","LINE","L1",NA,NA,"old"
"LTR9B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER4E1","LTR","ERV1","Primates","Euarchontoglires.","old"
"MLT1E3","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR37B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR39","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L1ME3D","LINE","L1",NA,NA,"old"
"L1P4","LINE","L1",NA,NA,"old"
"LTR22C2","LTR","ERVK","Catarrhini","Simiiformes.","young"
"L1PA10","LINE","L1",NA,NA,"old"
"ERVL-int","LTR","ERVL",NA,NA,"old"
"MLT1H1-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR64","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER112","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT1F1","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"FRAM","SINE","Alu","Primates","Euarchontoglires.","old"
"BLACKJACK","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"MER67C","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR67B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR79","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Charlie1a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Tigger3a","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER113A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER44B","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"Chap1_Mam","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1M8","LINE","L1",NA,NA,"old"
"MER102c","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER44D","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER41D","LTR","ERV1","Primates","Euarchontoglires.","old"
"MLT1A1","LTR","ERVL-MaLR","Euarchontoglires","Boreoeutheria.","old"
"LTR78","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"Charlie19a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR2C","LTR","ERV1","Hominoidea","Catarrhini.","young"
"LTR57-int","LTR","ERVL","Primates","Euarchontoglires.","old"
"HERVK9-int","LTR","ERVK",NA,NA,"old"
"MER9a2","LTR","ERVK","Hominoidea","Catarrhini.","young"
"MER102a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER67A","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"HERV16-int","LTR","ERVL",NA,NA,"old"
"MER63B","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"MLT1G1","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"L1MD","LINE","L1",NA,NA,"old"
"LTR13A","LTR","ERVK","Catarrhini","Simiiformes.","young"
"MER49","LTR","ERV1","Haplorrhini","Primates.","old"
"MER50","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER30","DNA","hAT-Charlie","Simiiformes","Haplorrhini.","young"
"LTR46","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER9a1","LTR","ERVK","Hominoidea","Catarrhini.","young"
"LTR13","LTR","ERVK","Hominoidea","Catarrhini.","young"
"LTR13_","LTR","ERVK",NA,NA,"old"
"MER54A","LTR","ERVL","Euarchontoglires","Boreoeutheria.","old"
"MER68","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"L3b","LINE","CR1",NA,NA,"old"
"MER4B-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"AluYe5","SINE","Alu","Primates","Euarchontoglires.","old"
"AluSq4","SINE","Alu","Primates","Euarchontoglires.","old"
"MER63D","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"MER66C","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"AluYk11","SINE","Alu","Hominidae","Hominoidea.","young"
"AluYh9","SINE","Alu","Hominidae","Hominoidea.","young"
"MER74B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR2B","LTR","ERV1","Hominoidea","Catarrhini.","young"
"Harlequin-int","LTR","ERV1",NA,NA,"old"
"LTR75","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"AluYa8","SINE","Alu","Hominidae","Hominoidea.","young"
"LTR10A","LTR","ERV1","Catarrhini","Simiiformes.","young"
"HERV9N-int","LTR","ERV1",NA,NA,"old"
"AluYh3a3","SINE","Alu",NA,NA,"old"
"LTR7B","LTR","ERV1","Catarrhini","Simiiformes.","young"
"Charlie22a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"AluYk3","SINE","Alu","Hominoidea","Catarrhini.","young"
"MER52A","LTR","ERV1","Primates","Euarchontoglires.","old"
