"repName","repClass","repFamily","species","clade","age"
"MER83","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR26B","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR42","LTR","ERVL","Primates","Euarchontoglires.","old"
"MER4D","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1M4a2","LINE","L1",NA,NA,"old"
"Tigger1a_Art","DNA","TcMar-Tigger",NA,NA,"old"
"MER65B","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluYi6","SINE","Alu","Hominidae","Hominoidea.","young"
"OldhAT1","DNA","hAT-Ac","Tetrapoda","Dipnotetrapodomorpha.","old"
"AluYk2","SINE","Alu","Hominoidea","Catarrhini.","young"
"ORSL-2b","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"L1M4a1","LINE","L1",NA,NA,"old"
"Tigger16a","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"Arthur1A","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"Tigger7","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER119","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"X7A_LINE","LINE","CR1","Theria <mammals>","Mammalia.","old"
"MER94","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"LTR16E1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"ERV3-16A3_LTR","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Charlie2b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER91B","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MSTB","LTR","ERVL-MaLR","Simiiformes","Haplorrhini.","young"
"LTR18B","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"MER102b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER46C","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"Charlie8","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR81","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER58B","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER74A","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER63A","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"LTR52","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Kanga1","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"MLT-int","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"Tigger3c","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER91A","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"AmnSINE2","SINE","tRNA-Deu","Amniota","Tetrapoda.","old"
"MamRTE1","LINE","RTE-BovB","Mammalia","Amniota.","old"
"MER45B","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR81C","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"LTR41C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER34C_","LTR","ERV1",NA,NA,"old"
"MER58C","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER34","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"LTR19A","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER89","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"AmnSINE1","SINE","5S-Deu-L2","Amniota","Tetrapoda.","old"
"LTR27B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER117","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR106_Mam","LTR","LTR","Eutheria","Theria <mammals>.","old"
"MLT1H-int","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MER75","DNA","PiggyBac","Simiiformes","Haplorrhini.","young"
"MLT2B4","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Tigger17c","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MER96","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR40b","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER44A","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER107","DNA","hAT-Charlie","Simiiformes","Haplorrhini.","young"
"Arthur1C","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER45R","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"AluYg6","SINE","Alu","Hominidae","Hominoidea.","young"
"L1ME3Cz","LINE","L1",NA,NA,"old"
"L1MA10","LINE","L1",NA,NA,"old"
"L1MC2","LINE","L1",NA,NA,"old"
"Tigger17a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MER47B","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"L1MEh","LINE","L1",NA,NA,"old"
"LTR10B2","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR21C","LTR","ERVL","Catarrhini","Simiiformes.","young"
"LTR62","LTR","ERVL","Primates","Euarchontoglires.","old"
"Charlie4a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie4","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER34C2","LTR","ERV1","Primates","Euarchontoglires.","old"
"MADE2","DNA","TcMar-Mariner","Eutheria","Theria <mammals>.","old"
"LTR5B","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR45C","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR8A","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR38","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR38-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"HERVK13-int","LTR","ERVK",NA,NA,"old"
"LTR3B_","LTR","ERVK",NA,NA,"old"
"Tigger4a","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER115","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"L1MEi","LINE","L1",NA,NA,"old"
"MER77","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Tigger15a","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"MER77B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR33C","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR105_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MLT2B2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER85","DNA","PiggyBac","Simiiformes","Haplorrhini.","young"
"UCON132b","DNA","hAT-Tip100",NA,NA,"old"
"MER92B","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR10E","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR16E2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Kanga1b","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"L1ME5","LINE","L1",NA,NA,"old"
"MamRep4096","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"HAL1b","LINE","L1","Eutheria","Theria <mammals>.","old"
"MER21B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR24C","LTR","ERV1","Primates","Euarchontoglires.","old"
"MSTC","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"MLT1J1","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MER21A","LTR","ERVL","Primates","Euarchontoglires.","old"
"MLT2A2","LTR","ERVL","Primates","Euarchontoglires.","old"
"MER48","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR7A","LTR","ERV1",NA,NA,"old"
"LTR53B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER61B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LOR1a","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR33A_","LTR","ERVL",NA,NA,"old"
"MER57B1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"AluYh7","SINE","Alu","Homo sapiens","Homo.","young"
"LTR16A2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR53","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER90a","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR1A2","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER11A","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR81AB","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER61D","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER61A","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"X7B_LINE","LINE","CR1","Theria <mammals>","Mammalia.","old"
"MamRep434","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"L1P3","LINE","L1",NA,NA,"old"
"CR1_Mam","LINE","CR1","Mammalia","Amniota.","old"
"MamTip1","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR101_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"X6B_LINE","LINE","CR1","Mammalia","Amniota.","old"
"MLT1G","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"Tigger11a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MER110","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR66","LTR","ERVL","Simiiformes","Haplorrhini.","young"
"HERVL66-int","LTR","ERVL",NA,NA,"old"
"X6A_LINE","LINE","CR1","Mammalia","Amniota.","old"
"MER54B","LTR","ERVL","Euarchontoglires","Boreoeutheria.","old"
"MER70A","LTR","ERVL","Euarchontoglires","Boreoeutheria.","old"
"MLT1E","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MamGypsy2-I","LTR","Gypsy","Theria <mammals>","Mammalia.","old"
"MamGypsy2-LTR","LTR","Gypsy","Theria <mammals>","Mammalia.","old"
"LTR90B","LTR","LTR","Theria <mammals>","Mammalia.","old"
"MamSINE1","SINE","tRNA-RTE","Mammalia","Amniota.","old"
"LTR16D","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR24","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER57A1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MLT1J-int","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MER34-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER70B","LTR","ERVL","Euarchontoglires","Boreoeutheria.","old"
"Tigger9b","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"UCON49","LINE","L2",NA,NA,"old"
"Kanga2_a","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"MamGypLTR1a","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"L1MEj","LINE","L1",NA,NA,"old"
"LTR23","LTR","ERV1","Primates","Euarchontoglires.","old"
"ERV24_Prim-int","LTR","ERV1",NA,NA,"old"
"LTR23-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER34B","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"LTR54","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER34C","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MER75A","DNA","PiggyBac","Simiiformes","Haplorrhini.","young"
"LTR16A","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER34A1","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR16B2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Zaphod3","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER58D","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MamTip2","DNA","hAT-Tip100","Theria <mammals>","Mammalia.","old"
"LTR33A","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER41A","LTR","ERV1","Primates","Euarchontoglires.","old"
"Charlie29a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER5C","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER4E","LTR","ERV1","Primates","Euarchontoglires.","old"
"MLT1C-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR16D2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"ORSL","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER45C","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MARNA","DNA","TcMar-Mariner","Eutheria","Theria <mammals>.","old"
"LTR16B1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MLT1G1-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR1C","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR41B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MLT1B-int","LTR","ERVL-MaLR",NA,NA,"old"
"AluSq10","SINE","Alu","Primates","Euarchontoglires.","old"
"MER105","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR19B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"FordPrefect_a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR71B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR16D1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Charlie18a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER51E","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER91C","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR86A1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR75_1","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MER72","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"L2-3_Crp","LINE","L2",NA,NA,"old"
"MLT1D-int","LTR","ERVL-MaLR",NA,NA,"old"
"MER52D","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR12E","LTR","ERV1","Hominoidea","Catarrhini.","young"
"LTR21B","LTR","ERV1","Catarrhini","Simiiformes.","young"
"HERVFH21-int","LTR","ERV1",NA,NA,"old"
"AluYk4","SINE","Alu","Hominidae","Hominoidea.","young"
"MER101","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR36","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER130","DNA","DNA","Amniota","Tetrapoda.","old"
"MLT1M","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"LTR71A","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Penelope1_Vert","LINE","Penelope","Tetrapoda","Dipnotetrapodomorpha.","old"
"Charlie16a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Tigger14a","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"MamRep137","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"Charlie17a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER94B","DNA","hAT-Blackjack","Eutheria","Theria <mammals>.","old"
"X9_LINE","LINE","L1","Amniota","Tetrapoda.","old"
"CR1-3_Croc","LINE","CR1","Amniota","Tetrapoda.","old"
"LTR86A2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"X5B_LINE","LINE","CR1","Euteleostomi","Teleostomi.","old"
"Mam_R4","LINE","Dong-R4","Mammalia","Amniota.","old"
"MLT2C2","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Ricksha_c","DNA","MULE-MuDR","Primates","Euarchontoglires.","old"
"CR1-16_AMi","LINE","CR1","Amniota","Tetrapoda.","old"
"MER96B","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"LTR1F","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Charlie24","DNA","hAT-Charlie","Theria <mammals>","Mammalia.","old"
"MER75B","DNA","PiggyBac","Simiiformes","Haplorrhini.","young"
"MER84","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER84-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"Charlie10","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie26a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie21a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR29","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Charlie10a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"L1M","LINE","L1",NA,NA,"old"
"Charlie2a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER104","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"Kanga11a","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"MER5C1","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie23a","DNA","hAT-Charlie","Theria <mammals>","Mammalia.","old"
"Tigger9a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MER51B","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR47A","LTR","ERVL","Primates","Euarchontoglires.","old"
"MER9a3","LTR","ERVK","Catarrhini","Simiiformes.","young"
"LTR82A","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR21A","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR77","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR61","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER106B","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"Charlie7a","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MER4C","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER41E","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluYe6","SINE","Alu","Primates","Euarchontoglires.","old"
"HERVFH19-int","LTR","ERV1",NA,NA,"old"
"MER110A","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"AluYd8","SINE","Alu","Hominidae","Hominoidea.","young"
"MER11D","LTR","ERVK","Hominoidea","Catarrhini.","young"
"MamGypLTR3a","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"LTR26E","LTR","ERV1","Primates","Euarchontoglires.","old"
"MamRep488","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"X7C_LINE","LINE","CR1","Theria <mammals>","Mammalia.","old"
"LTR9","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR60B","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR2","LTR","ERV1","Catarrhini","Simiiformes.","young"
"MER57C1","LTR","ERV1","Primates","Euarchontoglires.","old"
"AluYi6_4d","SINE","Alu","Homo sapiens","Homo.","young"
"Tigger4","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MER47C","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"LTR83","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR1D1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR51","LTR","ERV1","Primates","Euarchontoglires.","old"
"Kanga1c","DNA","TcMar-Tc2","Eutheria","Theria <mammals>.","old"
"Tigger12c","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"X7D_LINE","LINE","CR1","Theria <mammals>","Mammalia.","old"
"Tigger10","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"MER106A","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"LTR84a","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"Tigger16b","DNA","TcMar-Tigger","Theria <mammals>","Mammalia.","old"
"Charlie13a","DNA","hAT-Charlie","Mammalia","Amniota.","old"
"L2-1_AMi","LINE","L2","Amniota","Tetrapoda.","old"
"Cheshire","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"UCON81","DNA","hAT-Charlie","Theria <mammals>","Mammalia.","old"
"LTR84b","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR26C","LTR","ERV1","Homo sapiens","Homo.","young"
"MER2B","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"Charlie13b","DNA","hAT-Charlie","Mammalia","Amniota.","old"
"CR1-8_Crp","LINE","CR1",NA,NA,"old"
"LTR16","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR43B","LTR","ERV1","Primates","Euarchontoglires.","old"
"HERVIP10FH-int","LTR","ERV1",NA,NA,"old"
"LTR47B2","LTR","ERVL","Primates","Euarchontoglires.","old"
"ERV24B_Prim-int","LTR","ERV1",NA,NA,"old"
"MER34B-int","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"LTR75B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR1C1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER97c","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MLT2E","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR65","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"HSMAR2","DNA","TcMar-Mariner","Primates","Euarchontoglires.","old"
"Tigger8","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"LTR22B1","LTR","ERVK","Catarrhini","Simiiformes.","young"
"MER68-int","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR102_Mam","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"LTR10F","LTR","ERV1","Catarrhini","Simiiformes.","young"
"MER6","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"Tigger6b","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"PRIMA4-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER41G","LTR","ERV1","Primates","Euarchontoglires.","old"
"Tigger6a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"L1HS","LINE","L1",NA,NA,"old"
"LTR44","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR45B","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER57A-int","LTR","ERV1","Haplorrhini","Primates.","old"
"MER101-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"L1M3f","LINE","L1",NA,NA,"old"
"LTR57","LTR","ERVL","Primates","Euarchontoglires.","old"
"HERV3-int","LTR","ERV1",NA,NA,"old"
"HERVE-int","LTR","ERV1",NA,NA,"old"
"LTR1C3","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"LTR7Y","LTR","ERV1","Homininae","Hominidae.","young"
"HERV9NC-int","LTR","ERV1",NA,NA,"old"
"LTR12D","LTR","ERV1","Hominoidea","Catarrhini.","young"
"LOR1b","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER6B","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"LTR10B","LTR","ERV1","Catarrhini","Simiiformes.","young"
"LTR14A","LTR","ERVK","Catarrhini","Simiiformes.","young"
"MER6C","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"LTR22A","LTR","ERVK","Simiiformes","Haplorrhini.","young"
"Tigger18a","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"MST-int","LTR","ERVL-MaLR","Primates","Euarchontoglires.","old"
"Ricksha","DNA","MULE-MuDR","Primates","Euarchontoglires.","old"
"LTR80A","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MER113B","DNA","hAT-Charlie",NA,NA,"old"
"LTR86B1","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"MamGypLTR1c","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"LTR82B","LTR","ERVL","Eutheria","Theria <mammals>.","old"
"ORSL-2a","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MLT1F-int","LTR","ERVL-MaLR","Eutheria","Theria <mammals>.","old"
"MamGypLTR2c","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"MER6A","DNA","TcMar-Tigger","Primates","Euarchontoglires.","old"
"MLT1I-int","LTR","ERVL-MaLR",NA,NA,"old"
"LTR9A1","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"Tigger12A","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"HERVL74-int","LTR","ERVL",NA,NA,"old"
"MamTip3","DNA","hAT-Tip100","Eutheria","Theria <mammals>.","old"
"MER135","DNA","DNA","Mammalia","Amniota.","old"
"X1_LINE","LINE","CR1","Amniota","Tetrapoda.","old"
"MER127","DNA","TcMar-Tigger","Amniota","Tetrapoda.","old"
"PRIMA4_LTR","LTR","ERV1","Primates","Euarchontoglires.","old"
"MER57E2","LTR","ERV1","Euarchontoglires","Boreoeutheria.","old"
"MamGypLTR1d","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"LTR81A","LTR","Gypsy","Eutheria","Theria <mammals>.","old"
"UCON78","DNA","DNA","Amniota","Tetrapoda.","old"
"MER57F","LTR","ERV1","Primates","Euarchontoglires.","old"
"Charlie17b","DNA","hAT-Charlie","Eutheria","Theria <mammals>.","old"
"MLT1J1-int","LTR","ERVL-MaLR",NA,NA,"old"
"MER90","LTR","ERV1","Eutheria","Theria <mammals>.","old"
"MERX","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"Tigger17","DNA","TcMar-Tigger","Eutheria","Theria <mammals>.","old"
"LTR4","LTR","ERV1","Catarrhini","Simiiformes.","young"
"MER87","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER51D","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"PRIMA41-int","LTR","ERV1","Primates","Euarchontoglires.","old"
"LTR39-int","LTR","ERV1","Simiiformes","Haplorrhini.","young"
"MER57B2","LTR","ERV1","Haplorrhini","Primates.","old"
"LTR54B","LTR","ERV1","Primates","Euarchontoglires.","old"
