"","geneName","teName","coef","pvalue","padj","pair","age"
"1","ZNF506","HUERS-P3-int",-0.659701833418538,3.65262303476237e-06,2.1020956502735e-05,"HUERS-P3-int:ZNF506","young"
"2","ZNF506","LTR25-int",-0.611902602374087,2.72395662140849e-05,0.000120765035228244,"LTR25-int:ZNF506","young"
"3","ZNF506","MLT1A",-0.637865813047854,9.54162277647307e-06,4.84934787061375e-05,"MLT1A:ZNF506","young"
"4","ZNF506","MLT1G1",-0.605698855252342,3.45272866283731e-05,0.000148729538493955,"MLT1G1:ZNF506","young"
"5","ZNF506","THE1A-int",-0.62240751305196,1.8021954805658e-05,8.43010838598025e-05,"THE1A-int:ZNF506","young"
"6","ZNF506","THE1B-int",-0.621083845671323,1.90005239249764e-05,8.82765127722736e-05,"THE1B-int:ZNF506","young"
"7","ZNF506","THE1C-int",-0.587768195908576,6.66771171933396e-05,0.000264855550090282,"THE1C-int:ZNF506","young"
"8","ZNF671","ERVL-B4-int",0.799843148510615,5.96706985141702e-10,1.45376599341318e-08,"ERVL-B4-int:ZNF671","old"
"9","ZNF671","LTR13",0.807547959638261,3.04255308475656e-10,8.46067718346928e-09,"LTR13:ZNF671","young"
"10","ZNF671","MLT2B3",0.749404261491951,2.64102752260019e-08,3.25948918853781e-07,"MLT2B3:ZNF671","old"
"11","ZNF671","MSTA",0.785721060939047,1.9076246170271e-09,3.72260616160653e-08,"MSTA:ZNF671","young"
"12","ZNF430","THE1A",-0.728720119265746,9.75441517929374e-08,9.68176402678795e-07,"THE1A:ZNF430","young"
"13","ZNF430","THE1B",-0.734054139485385,7.04469268106365e-08,7.35763643234626e-07,"THE1B:ZNF430","young"
"14","ZNF430","THE1C",-0.70691639581902,3.42298666478692e-07,2.78773970369305e-06,"THE1C:ZNF430","young"
"15","ZNF430","THE1D",-0.693449924255255,7.03600053409518e-07,5.13456321297848e-06,"THE1D:ZNF430","young"
"16","ZNF549","MER57C1",0.657601374839608,4.01954269136639e-06,2.2854072530194e-05,"MER57C1:ZNF549","young"
"17","ZNF484","L1MC5",0.726119750558475,1.14003561423674e-07,1.10460305959164e-06,"L1MC5:ZNF484","old"
"18","ZNF337","L1M4",-0.660026461989623,3.5987447199555e-06,2.07518531358892e-05,"L1M4:ZNF337","young"
"19","ZNF337","MER54A",0.725563349579529,1.17844387142822e-07,1.13633383391193e-06,"MER54A:ZNF337","young"
"20","ZNF331","MLT1F1",0.868061360770874,4.07995507629551e-13,5.15092186024504e-11,"MLT1F1:ZNF331","old"
"21","ZNF331","MLT1F",0.839498849376294,1.30048688199016e-11,7.0018666390937e-10,"MLT1F:ZNF331","old"
"22","ZNF331","MLT1G1",0.842958365865023,8.87443923443142e-12,5.23149831726103e-10,"MLT1G1:ZNF331","old"
"23","ZNF331","MLT1G3",0.850703220539214,3.64514437092412e-12,2.66678726992017e-10,"MLT1G3:ZNF331","old"
"24","ZNF331","MLT1G",0.799455618644304,6.167937865534e-10,1.49286648761238e-08,"MLT1G:ZNF331","old"
"25","ZNF331","MLT1H1",0.824960927580511,5.90444151527327e-11,2.29634251392152e-09,"MLT1H1:ZNF331","old"
"26","ZNF331","MLT1H",0.841929616838652,9.95191179101694e-12,5.70138106054716e-10,"MLT1H:ZNF331","old"
"27","ZNF141","HUERS-P3-int",-0.635964637949806,1.03372344438223e-05,5.19853871961289e-05,"HUERS-P3-int:ZNF141","young"
"28","ZNF132","LTR16B",0.748257008054523,2.84879458098151e-08,3.47028004294868e-07,"LTR16B:ZNF132","old"
"29","ZNF189","L2a",0.784210907372165,2.14898803276075e-09,4.09786431116573e-08,"L2a:ZNF189","old"
"30","ZNF189","L2b",0.767545691810857,7.53808553138576e-09,1.14980835227303e-07,"L2b:ZNF189","old"
"31","ZNF189","L2c",0.778019688707836,3.46852598358542e-09,6.06501472676827e-08,"L2c:ZNF189","old"
"32","ZNF189","LTR41",0.837110137008777,1.68437805481431e-11,8.53805913339454e-10,"LTR41:ZNF189","old"
"33","ZIM3","L1M3c",0.647984350212027,6.17274168955342e-06,3.31594691732437e-05,"L1M3c:ZIM3","old"
"34","ZNF714","LTR13",-0.734446236762343,6.87607538166806e-08,7.20909552801886e-07,"LTR13:ZNF714","young"
"35","ZNF714","LTR50",-0.698086078652433,5.51455992620193e-07,4.17417880949972e-06,"LTR50:ZNF714","young"
"36","ZNF333","MLT1H2",0.797989232314317,6.98663450454944e-10,1.65159681552965e-08,"MLT1H2:ZNF333","old"
"37","ZNF333","MLT1I",0.878354609874142,9.57087986818316e-14,1.8353266945202e-11,"MLT1I:ZNF333","old"
"38","ZNF382","L1MEf",-0.755857611465926,1.71180875779068e-08,2.27252975497302e-07,"L1MEf:ZNF382","old"
"39","ZNF12","MLT1A",0.767976917137957,7.3068039348587e-09,1.12073271423191e-07,"MLT1A:ZNF12","old"
"40","ZNF12","MLT1H",0.773168280674625,4.99462904644658e-09,8.18644461889193e-08,"MLT1H:ZNF12","old"
"41","ZNF12","MLT1I",0.788761962304378,1.49637891127829e-09,3.05169296668099e-08,"MLT1I:ZNF12","old"
"42","ZNF12","MLT1J1",0.805068036332949,3.79139097341842e-10,1.00679246594213e-08,"MLT1J1:ZNF12","old"
"43","ZNF12","MLT1J2",0.787879217054176,1.60630879555613e-09,3.23438008974235e-08,"MLT1J2:ZNF12","old"
"44","ZNF12","MLT1J",0.811831418293315,2.06492505785372e-10,6.23291173252489e-09,"MLT1J:ZNF12","old"
"45","ZNF180","Charlie8",0.784830667028785,2.04667784074472e-09,3.93394759632143e-08,"Charlie8:ZNF180","old"
"46","ZNF180","MER102c",0.696730887165963,5.92440943967616e-07,4.43818342444729e-06,"MER102c:ZNF180","old"
"47","ZNF641","SVA_B",0.624286420924486,1.67118417063936e-05,7.88933932722298e-05,"SVA_B:ZNF641","young"
"48","ZNF641","SVA_C",0.789892299618388,1.36585943176562e-09,2.83619960365011e-08,"SVA_C:ZNF641","young"
"49","ZNF641","SVA_E",0.830740950037569,3.29132581620018e-11,1.4444495138759e-09,"SVA_E:ZNF641","young"
"50","ZNF641","SVA_F",0.653973244875662,4.73402975109504e-06,2.63520760463469e-05,"SVA_F:ZNF641","young"
"51","ZNF440","LTR10B1",0.645381110440628,6.91509958383398e-06,3.6615353866407e-05,"LTR10B1:ZNF440","young"
"52","ZNF440","LTR13",0.729945317086754,9.05792084406694e-08,9.10280811422697e-07,"LTR13:ZNF440","young"
"53","ZNF584","LTR5_Hs",0.815480089446921,1.47272763249264e-10,4.73834447607932e-09,"LTR5_Hs:ZNF584","young"
"54","ZIK1","AluSx",-0.689235835526425,8.74636740161001e-07,6.1817926028281e-06,"AluSx:ZIK1","old"
"55","ZIK1","LTR41B",0.618644691709924,2.09318392126023e-05,9.60342207637405e-05,"LTR41B:ZIK1","old"
"56","ZIK1","MADE1",0.760966835563579,1.2028855205522e-08,1.69305857796385e-07,"MADE1:ZIK1","young"
"57","ZIK1","MER52C",0.732822481602799,7.59964772478523e-08,7.84882711279769e-07,"MER52C:ZIK1","old"
"58","ZIK1","MLT1J1",0.788125683985046,1.57488052625268e-09,3.18161127171757e-08,"MLT1J1:ZIK1","old"
"59","ZNF519","AluSc",-0.721393501105138,1.50683106285158e-07,1.39664185562469e-06,"AluSc:ZNF519","young"
"60","ZNF519","AluSg7",-0.73547548962701,6.45111352663872e-08,6.83445624432573e-07,"AluSg7:ZNF519","young"
"61","ZNF519","AluSg",-0.610996779937135,2.82078144648633e-05,0.000124539875202204,"AluSg:ZNF519","young"
"62","ZNF519","AluSq2",-0.631576972277658,1.24105217611086e-05,6.08661037404614e-05,"AluSq2:ZNF519","young"
"63","ZNF519","AluSx3",-0.704392313958394,3.92977246508961e-07,3.13388422838084e-06,"AluSx3:ZNF519","young"
"64","ZNF519","AluSx4",-0.643467245524335,7.51214875501644e-06,3.93601385825503e-05,"AluSx4:ZNF519","young"
"65","ZNF519","AluSx",-0.617218898689063,2.21421426266138e-05,0.000100849469545455,"AluSx:ZNF519","young"
"66","ZNF519","AluY",-0.743360999645949,3.91810596146362e-08,4.51341638370041e-07,"AluY:ZNF519","young"
"67","ZNF519","AluYc",-0.768147669890108,7.21706405345021e-09,1.10915668596582e-07,"AluYc:ZNF519","young"
"68","ZNF519","MER66B",0.755974605659977,1.69819706648875e-08,2.25717117850626e-07,"MER66B:ZNF519","young"
"69","ZNF169","MLT1A",0.811330303992716,2.16180459162828e-10,6.46228660093576e-09,"MLT1A:ZNF169","old"
"70","ZNF135","MLT1K",0.776464335257476,3.90248032279815e-09,6.67871561876561e-08,"MLT1K:ZNF135","old"
"71","ZNF154","L1M4c",-0.831325854967604,3.09854559108952e-11,1.37762363921186e-09,"L1M4c:ZNF154","old"
"72","ZNF320","LTR12C",0.715996633071135,2.05798506737692e-07,1.81554333586102e-06,"LTR12C:ZNF320","young"
"73","ZNF320","LTR25-int",0.64578064739031,6.79608755162712e-06,3.60636357517967e-05,"LTR25-int:ZNF320","young"
"74","ZNF320","LTR5_Hs",0.734624635578416,6.80060372136735e-08,7.14387688721209e-07,"LTR5_Hs:ZNF320","young"
"75","ZNF320","MER54A",0.733112399895661,7.46548300046995e-08,7.73450366902737e-07,"MER54A:ZNF320","young"
"76","ZNF320","MSTA",0.681278459577409,1.30635583630034e-06,8.71598659045678e-06,"MSTA:ZNF320","young"
"77","ZNF320","MSTB1",0.676121133149791,1.68324392618794e-06,1.08163941780845e-05,"MSTB1:ZNF320","young"
"78","ZNF320","MSTB2",0.635537120903317,1.05243091072475e-05,5.27895512154566e-05,"MSTB2:ZNF320","young"
"79","ZNF320","MSTB",0.671144473075584,2.1396144294852e-06,1.32909397340322e-05,"MSTB:ZNF320","young"
"80","ZNF530","THE1B-int",0.700029632402388,4.97235392556388e-07,3.8275825857124e-06,"THE1B-int:ZNF530","young"
"81","ZNF530","THE1C-int",0.677744793313423,1.55497885370619e-06,1.0111982024675e-05,"THE1C-int:ZNF530","young"
"82","ZNF445","LTR5_Hs",0.829307189959726,3.81248140085487e-11,1.62156151613942e-09,"LTR5_Hs:ZNF445","young"
"83","ZFP69B","HERVH-int",0.703949238160488,4.02558815394009e-07,3.198599666031e-06,"HERVH-int:ZFP69B","old"
"84","ZFP69B","HERVK-int",0.736209738417785,6.1629997081593e-08,6.5767949191172e-07,"HERVK-int:ZFP69B","old"
"85","ZFP69B","L2a",0.725596706100561,1.17610788357406e-07,1.1343699538783e-06,"L2a:ZFP69B","old"
"86","ZFP69B","LTR13",0.691533952811134,7.77119023437327e-07,5.58883812341332e-06,"LTR13:ZFP69B","young"
"87","ZFP69B","LTR67B",0.723407720351012,1.33886192667848e-07,1.26519593105648e-06,"LTR67B:ZFP69B","old"
"88","ZFP69B","LTR77",0.611725443421076,2.74265158542131e-05,0.000121509753534232,"LTR77:ZFP69B","old"
"89","ZFP69B","MER21C",0.726990708486803,1.08223763418427e-07,1.05721731833032e-06,"MER21C:ZFP69B","old"
"90","ZFP69B","MLT1A0",0.729274898881745,9.43310146454281e-08,9.41913329962587e-07,"MLT1A0:ZFP69B","old"
"91","ZFP69B","MLT1J",0.709840406621838,2.91178389432406e-07,2.43144965918383e-06,"MLT1J:ZFP69B","old"
"92","ZFP69B","MSTA-int",0.724637550957519,1.24502117908071e-07,1.19064821136771e-06,"MSTA-int:ZFP69B","old"
"93","ZFP69B","THE1B-int",0.730366517014552,8.8293403366108e-08,8.90319715476611e-07,"THE1B-int:ZFP69B","old"
"94","ZFP69B","THE1C-int",0.701644166874262,4.55987572439306e-07,3.55593364390994e-06,"THE1C-int:ZFP69B","old"
"95","ZFP69B","THE1D-int",0.701362860910471,4.62938687704201e-07,3.60115555613284e-06,"THE1D-int:ZFP69B","young"
"96","ZNF33A","LTR10B1",0.651972986270029,5.17610054049066e-06,2.84756442933687e-05,"LTR10B1:ZNF33A","young"
"97","ZNF33A","MER11A",0.801050086848546,5.37995140771366e-10,1.33662311694405e-08,"MER11A:ZNF33A","young"
"98","ZNF33A","MER11C",0.808644303228014,2.75774111338152e-10,7.82774451336984e-09,"MER11C:ZNF33A","young"
"99","ZNF33A","MER89",0.718981850390816,1.73357617913955e-07,1.570715035745e-06,"MER89:ZNF33A","old"
"100","ZNF33A","THE1D",0.690800220959266,8.07104730782468e-07,5.77339916369711e-06,"THE1D:ZNF33A","young"
"101","ZNF782","HERVK-int",0.811868545715793,2.05791136145152e-10,6.21669267644545e-09,"HERVK-int:ZNF782","old"
"102","ZNF782","L1MB7",0.641156399374982,8.29587643294145e-06,4.28905484594982e-05,"L1MB7:ZNF782","old"
"103","ZNF782","MER21A",0.77031572376494,6.16339879623459e-09,9.72311598526601e-08,"MER21A:ZNF782","old"
"104","ZKSCAN5","LTR14B",0.657853987682274,3.97369033719747e-06,2.26217926575879e-05,"LTR14B:ZKSCAN5","young"
"105","ZKSCAN5","SVA_C",0.736484773671186,6.05818857121612e-08,6.48503396680477e-07,"SVA_C:ZKSCAN5","young"
"106","ZKSCAN5","SVA_D",0.839418281550235,1.31197176202107e-11,7.05368042118703e-10,"SVA_D:ZKSCAN5","young"
"107","ZKSCAN5","SVA_E",0.826491344095161,5.06854746563729e-11,2.036330318827e-09,"SVA_E:ZKSCAN5","young"
"108","ZKSCAN5","SVA_F",0.674513561357229,1.81977816446144e-06,1.15643896689425e-05,"SVA_F:ZKSCAN5","young"
"109","ZNF418","MER49",0.726762170082459,1.09713483231686e-07,1.06957949104373e-06,"MER49:ZNF418","old"
"110","ZNF418","MER72",0.669854918299827,2.27516690191957e-06,1.40078332620419e-05,"MER72:ZNF418","young"
"111","ZNF418","THE1A",0.763552626304566,1.00282745849976e-08,1.45651152021973e-07,"THE1A:ZNF418","young"
"112","ZNF441","AluSc8",-0.729409260197691,9.35677416796624e-08,9.35371067529452e-07,"AluSc8:ZNF441","young"
"113","ZNF441","AluSc",-0.783713938189504,2.23445468075667e-09,4.23050520101419e-08,"AluSc:ZNF441","young"
"114","ZNF441","AluSg4",-0.695937584140284,6.17720499604175e-07,4.59711847580872e-06,"AluSg4:ZNF441","young"
"115","ZNF441","AluSg7",-0.800244372843081,5.76555641941234e-10,1.41444616236878e-08,"AluSg7:ZNF441","young"
"116","ZNF441","AluSg",-0.696969372666656,5.85030317667976e-07,4.39220874208035e-06,"AluSg:ZNF441","young"
"117","ZNF441","AluSp",-0.691720003882914,7.69680853568163e-07,5.54292800537258e-06,"AluSp:ZNF441","young"
"118","ZNF441","AluSq2",-0.687320719622313,9.64401163323765e-07,6.71927018179626e-06,"AluSq2:ZNF441","young"
"119","ZNF441","AluSx1",-0.71991359871503,1.64246637662657e-07,1.50094870910827e-06,"AluSx1:ZNF441","young"
"120","ZNF441","AluSx3",-0.748758341188551,2.75620157498271e-08,3.37675346518784e-07,"AluSx3:ZNF441","young"
"121","ZNF441","AluSx4",-0.774551588116362,4.50553609644417e-09,7.52335571291263e-08,"AluSx4:ZNF441","young"
"122","ZNF441","AluSx",-0.704964334021027,3.80919121933103e-07,3.05331164034187e-06,"AluSx:ZNF441","young"
"123","ZNF441","AluSz",-0.666684027852905,2.64278644721669e-06,1.59178857879194e-05,"AluSz:ZNF441","young"
"124","ZNF441","AluY",-0.783271419242983,2.31321634835556e-09,4.34758766606346e-08,"AluY:ZNF441","young"
"125","ZNF441","AluYa8",-0.647072282596063,6.42407622654038e-06,3.43434898603664e-05,"AluYa8:ZNF441","young"
"126","ZNF441","AluYc",-0.826105373234978,5.26821768939201e-11,2.09856424223682e-09,"AluYc:ZNF441","young"
"127","ZNF441","AluYg6",-0.719564260071873,1.67609296939714e-07,1.52638696944213e-06,"AluYg6:ZNF441","young"
"128","ZNF441","LOR1a",0.726654890540396,1.10419320329942e-07,1.07519888893247e-06,"LOR1a:ZNF441","young"
"129","ZNF441","MER66B",0.770655383049707,6.01194821610878e-09,9.52776675616012e-08,"MER66B:ZNF441","young"
"130","ZNF786","AluYc",-0.815602169180264,1.45598121319748e-10,4.69293115363752e-09,"AluYc:ZNF786","old"
"131","ZNF786","HERVK3-int",0.842476596377701,9.36462763290736e-12,5.43580505955713e-10,"HERVK3-int:ZNF786","old"
"132","ZNF786","LTR12C",0.776744052818075,3.82088151767987e-09,6.5604049597538e-08,"LTR12C:ZNF786","young"
"133","ZNF786","MER21C",0.830599236419039,3.33969595528814e-11,1.4597928506985e-09,"MER21C:ZNF786","old"
"134","ZNF786","THE1B-int",0.857293050043346,1.64214765839567e-12,1.46213837396214e-10,"THE1B-int:ZNF786","old"
"135","ZNF786","THE1C-int",0.735962058341317,6.25882452239689e-08,6.66210752188069e-07,"THE1C-int:ZNF786","old"
"136","ZNF786","THE1D-int",0.795853568751065,8.36213156390564e-10,1.90874057889406e-08,"THE1D-int:ZNF786","young"
"137","ZNF675","AluYd8",-0.713369627728437,2.38908321021979e-07,2.05781664372517e-06,"AluYd8:ZNF675","young"
"138","ZNF675","LTR13_",0.716319017226256,2.02042137918831e-07,1.78718927360511e-06,"LTR13_:ZNF675","young"
"139","ZNF675","MSTA-int",0.858756924605687,1.36816823328085e-12,1.27707636737968e-10,"MSTA-int:ZNF675","young"
"140","ZNF675","MSTB-int",0.734644731549518,6.79215047859862e-08,7.13690160936172e-07,"MSTB-int:ZNF675","young"
"141","ZNF675","MSTB1-int",0.61371610592509,2.53915654793557e-05,0.000113589704507882,"MSTB1-int:ZNF675","young"
"142","ZNF675","MSTD-int",0.680806424767147,1.33729902544386e-06,8.89366775701282e-06,"MSTD-int:ZNF675","young"
"143","ZNF675","THE1-int",0.708344501077468,3.16375272653349e-07,2.6067963931697e-06,"THE1-int:ZNF675","young"
"144","ZNF675","THE1B-int",0.875048226672605,1.54610043863799e-13,2.53921452049877e-11,"THE1B-int:ZNF675","young"
"145","ZNF675","THE1C-int",0.855473820056251,2.05453986465623e-12,1.73602319806899e-10,"THE1C-int:ZNF675","young"
"146","ZNF675","THE1D-int",0.890480654908985,1.45202081381488e-14,4.90944903694724e-12,"THE1D-int:ZNF675","young"
"147","ZNF433","HUERS-P3-int",0.666466246835703,2.66993885190003e-06,1.60571841745808e-05,"HUERS-P3-int:ZNF433","young"
"148","ZNF433","MER11A",0.714760231148688,2.20812798320568e-07,1.92597370841619e-06,"MER11A:ZNF433","young"
"149","ZNF460","AluYa5",-0.795737252663649,8.44386853891005e-10,1.92377684247693e-08,"AluYa5:ZNF460","young"
"150","ZNF84","L1ME3A",0.784483316909512,2.1034444522153e-09,4.02519580761456e-08,"L1ME3A:ZNF84","old"
"151","ZNF84","L1P1",-0.793917743930869,9.82367585300047e-10,2.17266773178685e-08,"L1P1:ZNF84","old"
"152","ZNF334","AluSg4",-0.70483078690427,3.8370325417774e-07,3.07099350806062e-06,"AluSg4:ZNF334","old"
"153","ZNF334","ERVL-B4-int",0.836131796600866,1.87037814736477e-11,9.25799011962963e-10,"ERVL-B4-int:ZNF334","old"
"154","ZNF334","LTR13",0.841657829690766,1.02564080539229e-11,5.83344239592974e-10,"LTR13:ZNF334","young"
"155","ZNF334","SVA_D",0.707828280025595,3.25528566629768e-07,2.67045818621587e-06,"SVA_D:ZNF334","young"
"156","ZNF334","SVA_E",0.754215361043222,1.91391068400221e-08,2.4923752056285e-07,"SVA_E:ZNF334","young"
"157","ZNF587","HERVK-int",0.829594168078305,3.70235052392573e-11,1.58606771243632e-09,"HERVK-int:ZNF587","young"
"158","ZNF587","HERVK14-int",0.665874183459903,2.74505857838994e-06,1.64365756424342e-05,"HERVK14-int:ZNF587","young"
"159","ZNF587","HERVK3-int",0.776444114212747,3.90844171085938e-09,6.68627590390357e-08,"HERVK3-int:ZNF587","young"
"160","ZNF587","HERVK9-int",0.820246372559792,9.36396068308083e-11,3.30914882864324e-09,"HERVK9-int:ZNF587","young"
"161","ZNF587","LTR10B1",0.739245247732725,5.09407317591519e-08,5.61637359499604e-07,"LTR10B1:ZNF587","young"
"162","ZNF587","LTR10C",0.814495348806201,1.61455431421711e-10,5.10579434873028e-09,"LTR10C:ZNF587","young"
"163","ZNF587","LTR13",0.810484714671084,2.33498224899934e-10,6.85691828109622e-09,"LTR13:ZNF587","young"
"164","ZNF587","LTR13_",0.801463385718338,5.1916374606292e-10,1.29865898277744e-08,"LTR13_:ZNF587","young"
"165","ZNF587","LTR14",0.745003820499328,3.52353145732544e-08,4.13672999532276e-07,"LTR14:ZNF587","young"
"166","ZNF587","LTR5B",0.847314709966231,5.41251929248494e-12,3.59855380811211e-10,"LTR5B:ZNF587","young"
"167","ZNF587","LTR5_Hs",0.764825438970527,9.16166771143734e-09,1.35136158821398e-07,"LTR5_Hs:ZNF587","young"
"168","ZNF587","MER34C2",0.699648547935659,5.07461659328052e-07,3.892859203127e-06,"MER34C2:ZNF587","young"
"169","ZNF587","MER66C",0.698668877959575,5.34649721645546e-07,4.06776825335998e-06,"MER66C:ZNF587","young"
"170","ZNF587","MER9a3",0.743747060883134,3.82185539655321e-08,4.42434231872167e-07,"MER9a3:ZNF587","young"
"171","ZNF587","MamGypLTR3",0.785730940106453,1.90613246626098e-09,3.72025822562143e-08,"MamGypLTR3:ZNF587","young"
"172","ZNF627","MER9a3",0.774807772559433,4.42000990569268e-09,7.40638093825446e-08,"MER9a3:ZNF627","young"
"173","ZNF627","Tigger1",0.751608480006114,2.28081656997065e-08,2.88452261782927e-07,"Tigger1:ZNF627","old"
"174","ZNF425","LTR5_Hs",0.778618921772372,3.31368772715846e-09,5.83441127058056e-08,"LTR5_Hs:ZNF425","young"
"175","ZNF736","HUERS-P3b-int",0.775092341277076,4.32678336423765e-09,7.27711387136774e-08,"HUERS-P3b-int:ZNF736","young"
"176","ZNF736","LTR12C",0.765710226089291,8.60091732311334e-09,1.28332255988724e-07,"LTR12C:ZNF736","young"
"177","ZNF736","LTR12D",0.684633413017901,1.10474273216111e-06,7.55147065188253e-06,"LTR12D:ZNF736","young"
"178","ZNF736","LTR1C",0.686733141132713,9.93600643848478e-07,6.89188577360955e-06,"LTR1C:ZNF736","young"
"179","ZNF736","LTR1D",0.722121230078267,1.44401194560441e-07,1.34782895110562e-06,"LTR1D:ZNF736","young"
"180","ZNF736","LTR25-int",0.744611152130301,3.61433196174738e-08,4.22459361748308e-07,"LTR25-int:ZNF736","young"
"181","ZNF736","LTR27B",0.681693784737132,1.27967749348614e-06,8.56388938036272e-06,"LTR27B:ZNF736","young"
"182","ZNF736","LTR9",0.742317322180643,4.18970271572934e-08,4.77631466060481e-07,"LTR9:ZNF736","young"
"183","ZNF736","MER11D",0.639824333439704,8.78100964117848e-06,4.50858231233473e-05,"MER11D:ZNF736","young"
"184","ZNF736","MER52C",0.740489602767221,4.70787977141636e-08,5.25422952217616e-07,"MER52C:ZNF736","young"
"185","ZNF736","MER68",0.677205882637268,1.59651678104449e-06,1.03426136262135e-05,"MER68:ZNF736","young"
"186","ZNF736","MER9a3",0.650832253410803,5.44487126192236e-06,2.97523357574989e-05,"MER9a3:ZNF736","young"
"187","ZNF736","MLT1J1",0.687016845824012,9.79401695934743e-07,6.80704498211907e-06,"MLT1J1:ZNF736","young"
"188","ZNF736","MLT1J2",0.735576149410507,6.41088908657494e-08,6.80063435557158e-07,"MLT1J2:ZNF736","young"
"189","ZNF736","MSTA-int",0.698587270815524,5.36974186946398e-07,4.08186819265036e-06,"MSTA-int:ZNF736","young"
"190","ZNF737","HERVK14-int",0.635741890677703,1.04343217321032e-05,5.24049613373709e-05,"HERVK14-int:ZNF737","young"
"191","ZNF10","L1MB7",0.709220417184689,3.01387106255312e-07,2.50343943502436e-06,"L1MB7:ZNF10","old"
"192","ZNF10","L1MB8",0.665403837078075,2.80611569371445e-06,1.67475909571613e-05,"L1MB8:ZNF10","old"
"193","ZNF10","L1P1",-0.861629186670946,9.50591143857648e-13,9.71336265719725e-11,"L1P1:ZNF10","old"
"194","ZNF10","L1P3",-0.780570970523357,2.85283571452877e-09,5.16517448642735e-08,"L1P3:ZNF10","old"
"195","ZNF10","L1PA3",-0.683308869379442,1.18063687666726e-06,7.99686293752453e-06,"L1PA3:ZNF10","old"
"196","ZNF10","MLT1B",0.842589795559706,9.24721937168163e-12,5.38725160071018e-10,"MLT1B:ZNF10","old"
"197","ZNF225","AluSp",-0.642492514253334,7.8340576522633e-06,4.08091138956173e-05,"AluSp:ZNF225","old"
